

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325
RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 218

RUN: run status: enemy: 5; fitness: 5.60000000000003; player life: 46.0000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 361

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 240

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 665

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 256

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 6.380000000000032; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 158

RUN: run status: enemy: 2; fitness: 37.0; player life: 0; enemy life: 60.0; time: 315

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 560

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 240

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 364

RUN: run status: enemy: 5; fitness: 9.260000000000018; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 365

RUN: run status: enemy: 2; fitness: 28.0; player life: 0; enemy life: 70.0; time: 332

RUN: run status: enemy: 5; fitness: 10.0; player life: 0; enemy life: 90.0; time: 394

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 196

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 3.980000000000026; player life: 29.80000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 240

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: 5.420000000000029; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 196

RUN: run status: enemy: 2; fitness: 64.0; player life: 0; enemy life: 30.0; time: 332

RUN: run status: enemy: 5; fitness: 55.0; player life: 0; enemy life: 40.0; time: 395

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 196

RUN: run status: enemy: 2; fitness: 95.8; player life: 48; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 37.0; player life: 0; enemy life: 60.0; time: 396

RUN: run status: enemy: 8; fitness: 93.44000000000003; player life: 24.400000000000247; enemy life: 0; time: 251

RUN: run status: enemy: 2; fitness: 95.4; player life: 44; enemy life: 0; time: 211

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 479

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 187

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 548

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 205

RUN: run status: enemy: 2; fitness: 10.0; player life: 0; enemy life: 90.0; time: 206

RUN: run status: enemy: 5; fitness: 70.10000000000004; player life: 61.000000000000334; enemy life: 30.0; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 226

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 5.000000000000028; player life: 40.000000000000284; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 320

RUN: run status: enemy: 5; fitness: 2.180000000000023; player life: 11.80000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 548

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 440

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 5; fitness: 6.620000000000033; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 493

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 315

RUN: run status: enemy: 5; fitness: 10.820000000000002; player life: 98.20000000000002; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 219

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 548

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 5.72000000000003; player life: 47.2000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 482

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 317

RUN: run status: enemy: 5; fitness: 3.6200000000000254; player life: 26.20000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 403

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 4.4600000000000275; player life: 34.60000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 196

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 5; fitness: 6.680000000000033; player life: 56.800000000000324; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 324

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 318

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 722

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 192

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 228

RUN: run status: enemy: 5; fitness: 9.260000000000018; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 308

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 5.9000000000000306; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 28.0; player life: 0; enemy life: 70.0; time: 213

RUN: run status: enemy: 5; fitness: 34.460000000000036; player life: 64.60000000000034; enemy life: 70.0; time: 1000

RUN: run status: enemy: 8; fitness: 28.0; player life: 0; enemy life: 70.0; time: 436

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 401

RUN: run status: enemy: 5; fitness: 6.260000000000032; player life: 52.600000000000314; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 395

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 391

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 754

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 315

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 447

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 564

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 130

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 315

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 462

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 136

RUN: run status: enemy: 2; fitness: 19.0; player life: 0; enemy life: 80.0; time: 328

RUN: run status: enemy: 5; fitness: 2.4800000000000226; player life: 14.800000000000228; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 214

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 155

RUN: run status: enemy: 5; fitness: 9.260000000000018; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 487

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 361

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 513

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 256

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 368

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 761

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 297

RUN: run status: enemy: 2; fitness: 73.0; player life: 0; enemy life: 20.0; time: 321

RUN: run status: enemy: 5; fitness: 96.08000000000003; player life: 50.80000000000031; enemy life: 0; time: 271

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 214

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 5; fitness: 6.860000000000033; player life: 58.60000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 5.180000000000029; player life: 41.80000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 19.0; player life: 0; enemy life: 80.0; time: 321

RUN: run status: enemy: 5; fitness: 46.0; player life: 0; enemy life: 50.0; time: 397

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 179

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 4.040000000000026; player life: 30.40000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 903

